,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12
class_0,0,-0.37369677,0.021397062,-0.21494689,0.31742351,0.63562758,0.39851679,0.070545847,-0.072051107,0.039093777,0.63972366,-0.23984458,0.24505006
class_1,-0.37369677,0,-0.19598951,0.21142805,-0.0038268919,-0.063553007,-0.02768709,-0.0065530777,0.21230321,0.20732365,-0.20371003,0.29771982,0.44214217
class_2,0.021397062,-0.19598951,0,0.016794958,-0.067369283,-0.024562904,0.00041676584,0.067215818,-0.57457179,-0.5646407,0.025178737,0.00019821428,-0.19492704
class_3,-0.21494689,0.21142805,0.016794958,0,0.10305879,-0.13506132,-0.07441301,-0.049572967,0.064778775,0.11563631,-0.12369565,0.74239471,-0.028764482
class_4,0.31742351,-0.0038268919,-0.067369283,0.10305879,0,0.47074161,-0.10581424,0.13626638,0.048158954,0.099597476,0.57597944,-0.035611681,0.085133134
class_5,0.63562758,-0.063553007,-0.024562904,-0.13506132,0.47074161,0,0.22830079,0.22430287,-0.013841919,0.098395928,0.68475144,-0.052175233,0.37583257
class_6,0.39851679,-0.02768709,0.00041676584,-0.07441301,-0.10581424,0.22830079,0,-0.088857275,-0.026130663,0.041832285,0.15551565,-0.016353085,0.20478005
class_7,0.070545847,-0.0065530777,0.067215818,-0.049572967,0.13626638,0.22430287,-0.088857275,0,-0.12474667,-0.095487875,0.23926915,0.093399592,0.1356189
class_8,-0.072051107,0.21230321,-0.57457179,0.064778775,0.048158954,-0.013841919,-0.026130663,-0.12474667,0,0.89334394,-0.0860834,0.061109172,0.10821925
class_9,0.039093777,0.20732365,-0.5646407,0.11563631,0.099597476,0.098395928,0.041832285,-0.095487875,0.89334394,0,0.0033565736,0.11640404,0.20796163
class_10,0.63972366,-0.20371003,0.025178737,-0.12369565,0.57597944,0.68475144,0.15551565,0.23926915,-0.0860834,0.0033565736,0,-0.046481289,0.23783467
class_11,-0.23984458,0.29771982,0.00019821428,0.74239471,-0.035611681,-0.052175233,-0.016353085,0.093399592,0.061109172,0.11640404,-0.046481289,0,0.015906654
class_12,0.24505006,0.44214217,-0.19492704,-0.028764482,0.085133134,0.37583257,0.20478005,0.1356189,0.10821925,0.20796163,0.23783467,0.015906654,0
